Transaction ID,Date Time,Action,Asset,Quantity,Price,Total Amount,Fee,Status,Payment Mode,Order Type
TXN100001,"Mon Jul 20 2026 12:56:07 GMT+0530 (India Standard Time)",BUY,USDT,1000,98.10,98100.00,98.10,CLOSED,IMPS,MARKET
TXN100002,"Mon Jul 20 2026 13:12:44 GMT+0530 (India Standard Time)",SELL,USDT,500,98.35,49175.00,49.18,CLOSED,NEFT,LIMIT
TXN100003,"Mon Jul 20 2026 14:25:18 GMT+0530 (India Standard Time)",BUY,USDT,250,98.22,24555.00,24.56,PROCESSING,UPI,MARKET
TXN100004,"Mon Jul 20 2026 15:09:36 GMT+0530 (India Standard Time)",SELL,USDT,1200,98.50,118200.00,118.20,FAILED,RTGS,LIMIT
TXN100005,"Mon Jul 20 2026 16:41:02 GMT+0530 (India Standard Time)",BUY,USDT,800,98.18,78544.00,78.54,CLOSED,IMPS,MARKET
TXN100006,"Mon Jul 20 2026 17:23:55 GMT+0530 (India Standard Time)",SELL,USDT,150,98.42,14763.00,14.76,PENDING,UPI,MARKET
TXN100007,"Mon Jul 20 2026 18:08:14 GMT+0530 (India Standard Time)",BUY,USDT,3000,98.05,294150.00,294.15,CLOSED,NEFT,LIMIT
TXN100008,"Mon Jul 20 2026 19:44:29 GMT+0530 (India Standard Time)",SELL,USDT,650,98.61,64096.50,64.10,CANCELLED,IMPS,LIMIT
TXN100009,"Tue Jul 21 2026 09:15:11 GMT+0530 (India Standard Time)",BUY,USDT,400,98.08,39232.00,39.23,CLOSED,UPI,MARKET
TXN100010,"Tue Jul 21 2026 10:48:39 GMT+0530 (India Standard Time)",SELL,USDT,950,98.72,93784.00,93.78,CLOSED,IMPS,LIMIT
